lat#lng,DATE  OF OCCURRENCE,CASE,PRIMARY DESCRIPTION
41.927407329#-87.70729439,11/08/2023 8:50:00 PM,JG497095,THEFT
41.896671699#-87.628635323,11/08/2023 3:14:00 PM,JG496991,ASSAULT
41.808525157#-87.672792896,11/08/2023 10:55:00 PM,JG497145,ASSAULT
41.979505088#-87.693158103,11/08/2023 4:39:00 PM,JG496701,OTHER OFFENSE
41.771890947#-87.638705659,10/28/2023 7:30:00 PM,JG484195,THEFT
41.985611859#-87.713834343,10/28/2023 5:00:00 PM,JG483131,CRIMINAL DAMAGE
41.733053891#-87.568330657,11/08/2023 8:25:00 AM,JG498494,ASSAULT
41.949586612#-87.664085689,11/08/2023 2:38:00 PM,JG496575,THEFT
41.704388397#-87.626879123,09/17/2023 3:00:00 AM,JG427641,THEFT
41.881944424#-87.634195294,08/02/2023 9:25:00 AM,JG365961,ASSAULT
41.755481563#-87.649019949,11/08/2023 9:00:00 AM,JG496115,THEFT
41.970433391#-87.763029002,11/08/2023 7:45:00 PM,JG496955,ROBBERY
41.802269632#-87.605372566,11/08/2023 3:00:00 PM,JG501047,BURGLARY
41.721303358#-87.655873595,11/08/2023 1:00:00 PM,JG496779,ASSAULT
41.884497529#-87.625838595,11/08/2023 11:00:00 AM,JG496296,THEFT
41.778436411#-87.589657198,11/05/2023 6:00:00 PM,JG504330,OFFENSE INVOLVING CHILDREN
41.838219696#-87.704850674,11/08/2023 1:49:00 PM,JG496568,ASSAULT
41.70319162#-87.651369057,11/08/2023 11:30:00 AM,JG496295,ROBBERY
41.883969722#-87.644191276,10/28/2023 9:00:00 AM,JG488191,MOTOR VEHICLE THEFT
41.884276844#-87.622098929,10/28/2023 12:10:00 PM,JG482122,ROBBERY
41.87493626#-87.748170814,10/28/2023 1:30:00 AM,JG481621,CRIMINAL DAMAGE
41.95417672#-87.677232056,11/08/2023 6:30:00 PM,JG499040,CRIMINAL TRESPASS
41.948044095#-87.664039332,11/08/2023 9:01:00 PM,JG497052,BURGLARY
41.875625633#-87.629450396,12/14/2022 7:00:00 PM,JF511492,THEFT
41.976489992#-87.788483018,11/08/2023 10:40:00 PM,JG498785,THEFT
41.828080528#-87.686233684,11/08/2023 12:02:00 PM,JG496372,BURGLARY
41.993043969#-87.660360363,10/28/2023 9:15:00 AM,JG481891,THEFT
41.858444489#-87.716414102,10/28/2023 2:29:00 PM,JG482300,OTHER OFFENSE
41.879874073#-87.769750673,10/28/2023 2:00:00 AM,JG482034,THEFT
41.771296232#-87.729149311,08/31/2023 7:00:00 PM,JG406115,BATTERY
41.875679322#-87.62657476,09/08/2023 8:00:00 AM,JG416492,DECEPTIVE PRACTICE
41.82539977#-87.637026874,08/31/2023 10:52:00 AM,JG405111,BATTERY
41.863196881#-87.614817819,12/07/2022 1:39:00 PM,JF501686,CRIMINAL TRESPASS
41.93743245#-87.649180491,10/28/2023 7:41:00 AM,JG484000,THEFT
41.680799541#-87.669942159,10/28/2023 10:40:00 PM,JG482660,ASSAULT
41.891874434#-87.647617474,10/15/2023 2:30:00 AM,JG464444,ROBBERY
41.888993854#-87.626934833,12/08/2022 3:38:00 PM,JF254640,HOMICIDE
41.902821551#-87.775389625,10/28/2023 4:00:00 PM,JG483104,THEFT
41.724654303#-87.622283278,08/31/2023 9:13:00 PM,JG412467,MOTOR VEHICLE THEFT
41.773780824#-87.645848665,09/29/2023 12:00:00 AM,JG453780,THEFT
41.841289747#-87.628142362,09/30/2023 11:45:00 PM,JG445684,BATTERY
41.776150283#-87.615522623,11/08/2023 3:00:00 AM,JG495860,CRIMINAL DAMAGE
41.836069707#-87.613033345,11/08/2023 3:00:00 PM,JG497647,MOTOR VEHICLE THEFT
41.74974473#-87.652507329,09/30/2023 9:30:00 PM,JG445669,ASSAULT
41.946653043#-87.700875462,09/30/2023 10:01:00 AM,JG445052,THEFT
41.890400093#-87.628021143,10/28/2023 3:34:00 AM,JG481737,BATTERY
41.793842185#-87.620286919,11/13/2023 9:30:00 AM,JG503521,BURGLARY
41.720900408#-87.554599376,10/15/2023 3:00:00 AM,JG468840,CRIMINAL DAMAGE
41.742267488#-87.702192623,10/15/2023 8:00:00 PM,JG465660,THEFT
41.766298978#-87.570076538,10/15/2023 11:01:00 AM,JG464615,MOTOR VEHICLE THEFT
41.927407329#-87.70729439,11/08/2023 8:50:00 PM,JG497095,dfbdshfbj